1,0
5,1
6,1
10,5
2,4
2,4
4,9
9,9
10,5
6,1
2,4
4,9
10,5
10,5
2,4
10,5
10,5
8,8
2,4
7,3
2,4
10,5
8,8
10,5
9,9
2,4
2,4
9,9
9,9
10,5
9,9
9,9
10,5
9,9
2,4
6,1
10,5
2,4
2,4
2,4
8,8
10,5
6,1
10,5
10,5
2,4
2,4
6,1
2,4
10,5
5,1
6,1
10,5
1,0
1,0
9,9
6,1
10,5
2,4
2,4
10,5
1,0
1,0
10,5
1,0
2,4
5,1
1,0
1,0
4,9
1,0
2,4
10,5
6,1
9,9
10,5
2,4
1,0
5,1
8,8
2,4
1,0
6,1
1,0
10,5
10,5
10,5
8,8
2,4
9,9
5,1
2,4
2,4
6,1
2,4
10,5
10,5
1,0
1,0
5,1
9,9
9,9
3,5
5,1
6,1
9,9
6,1
6,1
5,1
2,4
10,5
6,1
6,1
9,9
10,5
9,9
1,0
9,9
10,5
2,4
6,1
6,1
10,5
2,4
2,4
3,5
5,1
5,1
10,5
2,4
2,4
9,9
2,4
10,5
2,4
5,1
10,5
1,0
9,9
6,1
1,0
2,4
5,1
5,1
5,1
10,5
10,5
6,1
2,4
2,4
6,1
10,5
2,4
6,1
1,0
2,4
6,1
6,1
4,9
1,0
9,9
1,0
2,4
2,4
2,4
2,4
2,4
10,5
1,0
6,1
10,5
6,1
1,0
5,1
2,4
2,4
1,0
1,0
6,1
5,1
2,4
10,5
10,5
5,1
2,4
10,5
10,5
1,0
4,9
2,4
10,5
2,4
10,5
6,1
8,8
10,5
8,8
10,5
10,5
6,1
1,0
10,5
1,0
6,1
6,1
9,9
2,4
6,1
2,4
5,1
6,1
2,4
1,0
10,5
1,0
9,9
2,4
2,4
10,5
9,9
2,4
10,5
5,1
10,5
4,9
10,5
6,1
9,9
2,4
10,5
2,4
5,1
10,5
2,4
7,3
6,1
10,5
9,9
2,4
3,5
1,0
10,5
10,5
2,4
2,4
6,1
1,0
10,5
8,8
10,5
2,4
2,4
2,4
10,5
1,0
10,5
6,1
2,4
2,4
10,5
2,4
2,4
2,4
6,1
6,1
10,5
3,5
8,8
9,9
6,1
5,1
10,5
2,4
8,8
9,9
6,1
9,9
10,5
6,1
1,0
5,1
5,1
7,3
1,0
10,5
1,0
2,4
10,5
2,4
4,9
10,5
9,9
9,9
2,4
10,5
2,4
1,0
9,9
6,1
2,4
6,1
10,5
6,1
2,4
2,4
2,4
8,8
2,4
4,9
10,5
10,5
2,4
10,5
2,4
9,9
6,1
10,5
10,5
8,8
10,5
2,4
10,5
10,5
3,5
6,1
10,5
1,0
2,4
10,5
6,1
2,4
10,5
5,1
2,4
7,3
8,8
2,4
10,5
5,1
9,9
10,5
6,1
9,9
1,0
6,1
6,1
5,1
10,5
10,5
6,1
4,9
9,9
9,9
2,4
10,5
5,1
2,4
2,4
2,4
1,0
10,5
1,0
10,5
10,5
3,5
9,9
2,4
2,4
2,4
10,5
6,1
2,4
6,1
2,4
5,1
2,4
10,5
9,9
9,9
2,4
10,5
2,4
2,4
2,4
10,5
5,1
5,1
10,5
2,4
10,5
10,5
1,0
2,4
6,1
2,4
3,5
9,9
3,5
2,4
2,4
10,5
1,0
10,5
9,9
8,8
9,9
10,5
9,9
1,0
6,1
7,3
2,4
10,5
2,4
2,4
10,5
2,4
5,1
6,1
10,5
10,5
1,0
10,5
9,9
1,0
10,5
6,1
5,1
9,9
10,5
1,0
2,4
10,5
10,5
2,4
2,4
10,5
10,5
6,1
2,4
1,0
1,0
2,4
1,0
10,5
9,9
9,9
10,5
10,5
10,5
10,5
2,4
10,5
9,9
1,0
2,4
1,0
2,4
10,5
2,4
9,9
9,9
10,5
10,5
5,1
2,4
9,9
8,8
9,9
10,5
9,9
3,5
10,5
6,1
10,5
6,1
1,0
9,9
5,1
2,4
2,4
2,4
1,0
10,5
5,1
10,5
9,9
10,5
1,0
2,4
6,1
5,1
2,4
9,9
2,4
4,9
1,0
1,0
2,4
10,5
1,0
6,1
5,1
10,5
1,0
9,9
2,4
6,1
9,9
10,5
2,4
2,4
10,5
5,1
1,0
2,4
10,5
7,3
6,1
                                                    
=====================================================
                 Confusion Matrix:
=====================================================
0,45,3,1,0,0,2,0,0,1,3
1,3,119,0,1,0,1,0,0,1,0
2,0,0,7,0,0,1,0,0,6,1
3,2,2,0,9,0,2,0,0,0,0
4,5,1,0,0,28,2,0,0,3,11
5,0,0,0,0,1,50,0,0,0,4
6,1,4,1,0,1,0,6,0,1,1
7,0,0,0,0,0,0,0,15,0,0
8,1,1,0,0,0,0,0,0,44,4
9,2,0,0,0,8,6,0,0,1,107
====================================
,Precision:
0,0.7627118644067796
1,0.9153846153846154
2,0.7777777777777778
3,0.9
4,0.7368421052631579
5,0.78125
6,1.0
7,1.0
8,0.7719298245614035
9,0.816793893129771
------------------------------------
,Recall:
0,0.8181818181818182
1,0.952
2,0.4666666666666667
3,0.6
4,0.56
5,0.9090909090909091
6,0.4
7,1.0
8,0.88
9,0.8629032258064516
------------------------------------
,F-Score:
0,0.7894736842105264
1,0.9333333333333333
2,0.5833333333333334
3,0.7200000000000001
4,0.6363636363636364
5,0.8403361344537814
6,0.5714285714285715
7,1.0
8,0.822429906542056
9,0.8392156862745098
====================================
,Macro Average F-Score:
,0.7735914285939748
,Weighted Average F-Score:
,0.8216378757378728
,Accuracy Score:
,0.8285163776493256
